Date,Open,High,Low,Close,Adj Close,Volume
1971-05-07,16.706501,16.706501,16.515297,16.586998,4.079694,861904
1971-05-10,16.586998,16.586998,16.455545,16.479446,4.053244,740568
1971-05-11,16.479446,16.503345,16.359943,16.359943,4.023849,838892
1971-05-12,16.359943,16.467495,16.347992,16.371893,4.026789,627600
1971-05-13,16.371893,16.431644,16.192638,16.264339,4.000332,648520
1971-05-14,16.204590,16.204590,15.977533,16.037285,3.944488,721740
1971-05-17,16.037285,16.467495,15.834130,15.965583,3.926854,719648
1971-05-18,15.965583,16.228489,15.941683,16.156788,3.973882,483252
1971-05-19,16.156788,16.353968,16.156788,16.347992,4.020909,458148
1971-05-20,16.347992,16.718451,16.347992,16.634798,4.091454,705004
1971-05-21,16.610899,16.610899,16.419695,16.443596,4.044426,422584
1971-05-24,16.395794,16.395794,16.300192,16.300192,4.009153,313800
1971-05-25,16.252390,16.252390,16.073135,16.108988,3.962126,765672
1971-05-26,16.108988,16.240440,16.085087,16.120937,3.965062,562748
1971-05-27,16.120937,16.156788,15.965583,15.965583,3.926854,560656
1971-05-28,15.917782,15.917782,15.535373,15.630975,3.844556,1698704
1971-06-01,15.654876,15.846080,15.654876,15.714627,3.865129,761488
1971-06-02,15.714627,15.726577,15.571224,15.607075,3.838674,824248
1971-06-03,15.607075,15.666826,15.332218,15.356119,3.776952,2638012
1971-06-04,15.403920,15.726577,15.403920,15.499522,3.812224,933032
1971-06-07,15.475621,15.475621,15.152964,15.188815,3.735803,1052276
1971-06-08,15.188815,15.272467,14.878107,14.937859,3.674078,1221728
1971-06-09,14.937859,15.224665,14.722753,15.212715,3.741680,2548056
1971-06-10,15.236616,15.391969,15.236616,15.368069,3.779890,1232188
1971-06-11,15.463671,15.571224,15.463671,15.511472,3.815161,629692
1971-06-14,15.463671,15.463671,15.200765,15.230641,3.746091,953952
1971-06-15,15.230641,15.415870,15.188815,15.368069,3.779890,738476
1971-06-16,15.368069,15.535373,15.344168,15.463671,3.803406,560656
1971-06-17,15.463671,15.475621,15.344168,15.344168,3.774009,541828
1971-06-18,15.302342,15.302342,15.057361,15.081262,3.709348,1196624
1971-06-21,15.081262,15.141013,14.943834,15.009560,3.691711,1098300
1971-06-22,15.009560,15.176864,14.973709,15.045411,3.700531,907928
1971-06-23,15.045411,15.117113,15.021511,15.069312,3.706409,719648
1971-06-24,15.069312,15.093212,14.937859,14.961759,3.679953,763580
1971-06-25,14.913958,14.913958,14.818356,14.878107,3.659381,788684
1971-06-28,14.878107,14.937859,14.842256,14.902008,3.665259,525092
1971-06-29,14.907983,15.021511,14.907983,15.009560,3.691711,792868
1971-06-30,15.081262,15.176864,15.081262,15.152964,3.726985,711280
1971-07-01,15.152964,15.224665,15.141013,15.188815,3.735803,495804
1971-07-02,15.188815,15.260516,15.141013,15.248566,3.750499,489528
1971-07-06,15.176864,15.176864,15.057361,15.129063,3.721106,506264
